,Row.names,ACCNUM,SYMBOL,GO,Control1_Exp1,Control2_Exp2,Control3_Exp3
15287,10426089,NA,Zdhhc25,"zinc finger, DHHC domain containing 25",-0.183325827,-0.14878639,0.39471518
15289,10426098,NA,Creld2,cysteine-rich with EGF-like domains 2,-0.022000664,0.614516959,0.445848866
15290,10426110,NA,Pim3,proviral integration site 3,-0.076642264,-0.352862304,0.639438097
15291,10426118,NA,Mov10l1,Moloney leukemia virus 10-like 1,0.150052391,-0.013378864,-0.042616981
15293,10426150,NA,Panx2,pannexin 2,-0.081078344,-0.517875842,0.515749878
15294,10426157,NA,Trabd,TraB domain containing,0.118946955,-0.423412992,0.450517612
15295,10426169,NA,Selo,selenoprotein O,0.442154393,0.125709756,-0.120489721
15296,10426180,NA,Ppp6r2,"protein phosphatase 6, regulatory subunit 2",-0.475847422,0.120476506,-0.294569732
15297,10426208,NA,Adm2,adrenomedullin 2,0.352817763,-0.463548059,0.030370796
15298,10426213,NA,Miox,myo-inositol oxygenase,0.550939973,-0.428799486,0.31933585
15299,10426225,NA,Ncaph2,"non-SMC condensin II complex, subunit H2",-0.012903061,-0.169216216,0.421958946
15300,10426240,NA,Klhdc7b,kelch domain containing 7B,0.066267232,0.134104324,0.875815874
15301,10426242,NA,C730034F03Rik,RIKEN cDNA C730034F03 gene,-0.771657252,0.75448923,0.207536725
15302,10426244,NA,Mapk8ip2,mitogen-activated protein kinase 8 interacting protein 2,0.349743615,-0.099853988,0.01376465
15303,10426261,NA,Shank3,SH3/ankyrin domain gene 3,0.017831043,-0.670369278,0.860991731
15304,10426284,NA,Acr,acrosin prepropeptide,-0.116651846,-0.452162128,1.06771312
15305,10426292,NA,Alg10b,"asparagine-linked glycosylation 10B (alpha-1,2-glucosyltransferase)",0.072844251,0.66168912,-0.658294232
15306,10426296,NA,Gm10839,predicted gene 10839,0.035694278,-0.53634194,0.328936468
15308,10426301,NA,Tcea1,transcription elongation factor A (SII) 1,-0.101494887,-0.001458314,-0.599780496
15310,10426315,NA,Lrrk2,leucine-rich repeat kinase 2,0.072075693,-0.238732275,-0.631481575
15311,10426368,NA,Lrrk2,leucine-rich repeat kinase 2,0.278570656,-0.332243352,0.056747052
15312,10426370,NA,Smgc,submandibular gland protein C,0.144780492,-0.310245776,0.008089592
15313,10426383,NA,Muc19,mucin 19,0.307664661,0.064293128,0.023614044
15314,10426385,NA,Muc19,mucin 19,0.410078346,-0.133940486,0.312805619
15315,10426397,NA,Cntn1,contactin 1,0.343231134,-0.36119062,0.379656511
15316,10426425,NA,Pdzrn4,PDZ domain containing RING finger 4,0.057601853,-0.223939924,0.302769138
15318,10426437,NA,Rn7sk,"RNA, 7SK, nuclear",-0.013416163,-0.175729346,0.239385797
15319,10426439,NA,Pphln1,periphilin 1,0.143100262,0.57882588,-0.080098428
15320,10426451,NA,Irak4,interleukin-1 receptor-associated kinase 4,0.049111184,-0.357872173,-0.243433741
15321,10426467,NA,Tmem117,transmembrane protein 117,-0.000631974,0.333271083,-0.257913063
15322,10426477,NA,Snrpc,U1 small nuclear ribonucleoprotein C,0.630406131,0.133470767,0.793222004
15323,10426479,NA,Ano6,anoctamin 6,-0.312230487,0.854742272,-0.687499703
15324,10426500,NA,Rpl29,ribosomal protein L29,-0.102308241,0.425441477,0.196659499
15325,10426503,NA,Gm4371,"eukaryotic translation initiation factor 3, subunit I pseudogene",0.055311951,-0.454318018,-0.265272069
15326,10426507,NA,Arid2,"AT rich interactive domain 2 (ARID, RFX-like)",-0.245772093,0.463412653,-1.048309116
15328,10426535,NA,Pced1b,PC-esterase domain containing 1B,0.237338667,-0.328988982,0.856780714
15329,10426542,NA,Gm10835,predicted gene 10835,0.101643691,-0.282904128,0.200949649
15330,10426544,NA,Slc48a1,"solute carrier family 48 (heme transporter), member 1",-0.06251227,-0.059481644,0.283220039
15331,10426550,NA,Tmem106c,transmembrane protein 106C,0.036806219,-0.668524394,-0.026460412
15332,10426557,NA,Pfkm,"phosphofructokinase, muscle",0.101616927,-0.458211294,0.677508882
15333,10426581,NA,AI836003,expressed sequence AI836003,0.167092323,-0.555551019,0.54880905
15334,10426584,NA,1700031M16Rik,RIKEN cDNA 1700031M16 gene,0.08730488,-0.340386856,0.4107997
15335,10426592,NA,Olfr282,olfactory receptor 282,0.325848968,-0.414654057,0.867434189
15336,10426594,NA,Olfr281,olfactory receptor 281,0.091800309,-0.77906369,0.848892542
15338,10426601,NA,Olfr279,olfactory receptor 279,-0.009724252,-0.316308662,0.370695773
15339,10426603,NA,9330020H09Rik,RIKEN cDNA 9330020H09 gene,0.193333708,-0.543394284,0.158098687
15340,10426606,NA,4930415O20Rik,RIKEN cDNA 4930415O20 gene,0.007786863,-0.384554579,0.124666747
15341,10426611,NA,Cacnb3,"calcium channel, voltage-dependent, beta 3 subunit",0.279293741,-0.093506707,0.454163088
15342,10426627,NA,Ccdc65,coiled-coil domain containing 65,0.162932222,-0.429431386,0.649076035
15343,10426637,NA,Wnt1,wingless-related MMTV integration site 1,0.075897165,-0.177184522,1.129541366
15345,10426645,NA,B430209F14Rik,RIKEN cDNA B430209F14 gene,0.526391119,-0.421478529,0.227093865
15348,10426656,NA,Prph,peripherin,0.008022075,-0.280519931,0.396306315
15349,10426669,NA,Troap,trophinin associated protein,-0.126524471,-0.454204257,-0.13911059
15350,10426685,NA,Dnajc22,"DnaJ (Hsp40) homolog, subfamily C, member 22",0.325345315,-0.070268307,0.709731161
15351,10426689,NA,Spats2,"spermatogenesis associated, serine-rich 2",0.14922937,-0.639252725,1.072074941
15352,10426704,NA,Kcnh3,"potassium voltage-gated channel, subfamily H (eag-related), member 3",-0.128853111,-0.282537928,0.45004122
15353,10426722,NA,Prpf40b,PRP40 pre-mRNA processing factor 40 homolog B (yeast),-0.151802375,0.105191771,0.182137018
15354,10426751,NA,Tmbim6,transmembrane BAX inhibitor motif containing 6,-0.114195108,0.389125473,0.249060323
15355,10426760,NA,Aqp2,aquaporin 2,-0.161319054,-0.293086286,0.572120491
15356,10426767,NA,Aqp5,aquaporin 5,0.351310996,-0.761742817,0.684876133
15357,10426773,NA,Aqp6,aquaporin 6,-0.086151055,-0.18863627,0.420013064
15358,10426782,NA,Asic1,acid-sensing (proton-gated) ion channel 1,0.025424476,-0.149893211,0.282019869
15359,10426798,NA,Smarcd1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1",-0.011275984,-0.030244981,0.422957624
15360,10426812,NA,Gpd1,glycerol-3-phosphate dehydrogenase 1 (soluble),0.366523788,-0.442243067,0.180246442
15361,10426822,NA,Cox14,cytochrome c oxidase assembly protein 14,0.520975718,-0.282647642,0.128595929
15362,10426827,NA,Larp4,"La ribonucleoprotein domain family, member 4",-0.249190465,0.111000836,-1.295976022
15363,10426835,NA,Dip2b,DIP2 disco-interacting protein 2 homolog B (Drosophila),0.131504942,0.513019894,-0.315324522
15365,10426880,NA,Tmprss12,"transmembrane (C-terminal) protease, serine 12",0.291149257,-0.291782169,0.370393849
15366,10426889,NA,Sec61b,Sec61 beta subunit,0.389485353,-0.915592642,-2.46447398
15367,10426891,NA,Mettl7a1,methyltransferase like 7A1,-0.518027239,0.202319313,0.314628292
15369,10426898,NA,Mettl7a2Higd1c,Mettl7a2-Higd1c readthrough transcript,0.141738113,-0.486170327,0.566252355
15370,10426905,NA,Gm5475,predicted gene 5475,0.224201919,-0.475738125,0.414107606
15371,10426909,NA,Letmd1,LETM1 domain containing 1,0.057924664,-0.000631742,-0.430697713
15372,10426921,NA,Dazap2,DAZ associated protein 2,-1.175841131,0.515105392,-1.126136884
15373,10426924,NA,Slc4a8,"solute carrier family 4 (anion exchanger), member 8",0.08776909,-0.513922803,0.430500242
15374,10426955,NA,Scn8a,"sodium channel, voltage-gated, type VIII, alpha",-0.153296113,-0.237524652,-0.03970852
15375,10426991,NA,Ankrd33,ankyrin repeat domain 33,-0.22073802,-0.313639942,0.534651076
15376,10426999,NA,Acvrl1,"activin A receptor, type II-like 1",0.301245301,0.272267344,0.348452108
15377,10427015,NA,Acvr1b,"activin A receptor, type 1B",-0.535638602,-0.239772068,0.270127024
15378,10427026,NA,Grasp,GRP1 (general receptor for phosphoinositides 1)-associated scaffold protein,-0.545684807,1.844036142,0.790847493
15379,10427035,NA,Nr4a1,"nuclear receptor subfamily 4, group A, member 1",-0.548007046,0.212225015,0.888634063
15380,10427045,NA,9430023L20Rik,RIKEN cDNA 9430023L20 gene,0.354444658,0.036077698,0.009024083
15381,10427049,NA,6030408B16Rik,RIKEN cDNA 6030408B16 gene,0.082392111,-1.038892665,0.479061481
15382,10427052,NA,Krt7,keratin 7,-0.000215963,-0.866303318,0.43901534
15383,10427063,NA,1700011A15Rik,RIKEN cDNA 1700011A15 gene,0.135672262,-0.193990457,0.432886672
15384,10427070,NA,Krt86,keratin 86,0.0785225,0.08442833,0.672521519
15385,10427075,NA,Krt18,keratin 18,0.808718567,-0.445684445,0.864017609
15386,10427083,NA,Eif4b,eukaryotic translation initiation factor 4B,-0.130536825,0.214925832,-0.246788227
15387,10427095,NA,Tenc1,tensin like C1 domain-containing phosphatase,-0.383038398,0.486319495,0.642212357
15388,10427125,NA,Igfbp6,insulin-like growth factor binding protein 6,-0.141455584,-0.34077301,-0.144641243
15389,10427131,NA,Soat2,sterol O-acyltransferase 2,-0.211145346,-0.582319587,0.67677878
15390,10427148,NA,Zfp740,zinc finger protein 740,0.372748409,0.363286813,0.811294853
15391,10427159,NA,Gm9918,predicted gene 9918,-0.136363518,-0.205259259,0.086324063
15392,10427162,NA,Mfsd5,major facilitator superfamily domain containing 5,-0.014371318,-0.540758316,0.209295558
15393,10427166,NA,Espl1,extra spindle pole bodies 1 (S. cerevisiae),0.938043186,-0.643415997,-0.155129842
15394,10427199,NA,Pfdn5,prefoldin 5,0.353435751,1.196092209,-1.713233848
15395,10427205,NA,Myg1,melanocyte proliferating gene 1,0.066039093,-0.192559368,-0.159170564
15396,10427214,NA,Sp1,trans-acting transcription factor 1,-0.266409623,0.72846602,-0.478201319
15397,10427222,NA,Amhr2,anti-Mullerian hormone type 2 receptor,-0.017055077,0.209622369,0.151547465
15398,10427235,NA,Prr13,proline rich 13,-0.059102061,-0.276166127,0.062043925
15399,10427241,NA,Pcbp2,poly(rC) binding protein 2,-0.402277591,0.524967325,-0.126124503
15400,10427253,NA,Map3k12,mitogen-activated protein kinase kinase kinase 12,-1.035672249,1.146422866,-1.037872772
15401,10427255,NA,Tarbp2,TAR (HIV) RNA binding protein 2,0.472779304,0.017425192,-0.425174439
15402,10427266,NA,Rpl39,ribosomal protein L39,0.175076921,-0.118197326,-1.398169959
15403,10427268,NA,Hoxc13,homeobox C13,-0.261591723,0.058976606,0.223349883
15404,10427272,NA,Hoxc12,homeobox C12,-0.204926293,-0.507739362,0.279024665
15405,10427277,NA,Hoxc11,homeobox C11,-0.193558728,-0.027616427,0.250192223
15406,10427280,NA,Hoxc10,homeobox C10,-0.120205414,-0.265524454,0.163550621
15407,10427284,NA,Mir196a-2,microRNA 196a-2,0.427198927,-0.652972378,0.707983387
15408,10427286,NA,Hoxc9,homeobox C9,-0.504675322,1.000983278,-0.597295938
15409,10427290,NA,Hoxc8,homeobox C8,-0.34203171,-0.073714052,-0.157212551
15410,10427293,NA,Hoxc6,homeobox C6,-0.30324684,0.704852971,-0.555937113
15411,10427297,NA,Hoxc5,homeobox C5,-0.097674813,-0.375829208,0.387095723
15412,10427301,NA,Mir615,microRNA 615,0.203073844,-0.49250141,0.587928887
15413,10427303,NA,Hoxc4,homeobox C4,0.002218009,-0.059142705,-0.197627079
15414,10427308,NA,Gm10830,predicted gene 10830,0.166511741,-0.592384643,0.206441708
15416,10427323,NA,Copz1,"coatomer protein complex, subunit zeta 1",0.663921547,0.048405448,0.604740068
15417,10427334,NA,Mir148b,microRNA 148b,0.681568793,-0.569225714,0.277003793
15418,10427336,NA,Nckap1l,NCK associated protein 1 like,0.429167067,0.36657793,0.161092769
15419,10427369,NA,Pde1b,"phosphodiesterase 1B, Ca2+-calmodulin dependent",-0.18050535,-0.417304631,0.635553238
15422,10427399,NA,Ccdc152,coiled-coil domain containing 152,-0.031251923,-0.646797454,0.602129599
15423,10427402,NA,Ghr,growth hormone receptor,-1.206613312,-0.159784845,-0.314870506
15425,10427420,NA,Fbxo4,F-box protein 4,0.350834122,-0.47966207,-0.40333772
15426,10427428,NA,AW549877,expressed sequence AW549877,-0.284486036,0.564504616,0.046472378
15427,10427436,NA,C7,complement component 7,0.331760637,-0.146940375,0.160582096
15428,10427454,NA,Card6,"caspase recruitment domain family, member 6",0.042873908,-0.222626471,0.372033897
15430,10427461,NA,Ptger4,prostaglandin E receptor 4 (subtype EP4),-0.035003093,0.036325519,0.106801491
15432,10427471,NA,Osmr,oncostatin M receptor,-0.569380381,0.494443563,-0.901853648
15433,10427492,NA,Gm10050,predicted gene 10050,0.160760387,-0.247469464,1.085244608
15435,10427496,NA,Egflam,"EGF-like, fibronectin type III and laminin G domains",0.140051383,-0.626211465,0.390526204
15436,10427521,NA,Wdr70,WD repeat domain 70,-0.253384963,0.766733978,0.183647586
15437,10427538,NA,Nipbl,Nipped-B homolog (Drosophila),-0.507413729,0.836503697,-0.810091857
15438,10427590,NA,Slc1a3,"solute carrier family 1 (glial high affinity glutamate transporter), member 3",-0.073762544,-0.491944284,0.278650893
15440,10427606,NA,Skp2,S-phase kinase-associated protein 2 (p45),0.229855984,-0.273919994,-0.094984689
15443,10427628,NA,Il7r,interleukin 7 receptor,0.320392209,-0.128950165,0.189666818
15445,10427653,NA,Spef2,sperm flagellar 2,-0.095517136,-0.207845324,0.220558828
15446,10427655,NA,Spef2,sperm flagellar 2,0.101420372,-0.300253646,0.195100897
15447,10427657,NA,Spef2,sperm flagellar 2,0.126579915,-0.27938532,0.050726701
15448,10427659,NA,Spef2,sperm flagellar 2,0.358168138,-1.535552547,0.540746297
15449,10427661,NA,Spef2,sperm flagellar 2,0.135532783,-0.07709142,0.161993777
15450,10427663,NA,Spef2,sperm flagellar 2,-0.1400692,-0.290878418,0.271244204
15451,10427665,NA,Spef2,sperm flagellar 2,-0.024422458,-0.584367931,0.666898899
15452,10427667,NA,Spef2,sperm flagellar 2,0.17732387,-0.496820302,0.123221126
15453,10427669,NA,Spef2,sperm flagellar 2,0.139299308,-0.57718371,0.336474708
15454,10427671,NA,Spef2,sperm flagellar 2,-0.174100028,-0.25501291,0.107544499
15456,10427675,NA,Spef2,sperm flagellar 2,-0.230816626,-1.051372449,0.583841169
15457,10427677,NA,Spef2,sperm flagellar 2,-0.008719514,-0.066363863,0.206220323
15458,10427679,NA,Spef2,sperm flagellar 2,0.218306928,-0.440944991,-0.097185205
15459,10427681,NA,Spef2,sperm flagellar 2,0.595944413,-0.994125077,0.429801009
15460,10427683,NA,Spef2,sperm flagellar 2,0.106548615,-0.416556801,0.264375396
15461,10427685,NA,Spef2,sperm flagellar 2,0.24126478,-0.225473428,0.024761811
15462,10427687,NA,Spef2,sperm flagellar 2,-0.090329624,-0.019471844,0.18741301
15463,10427689,NA,Spef2,sperm flagellar 2,0,-0.407983321,0.182297722
15464,10427691,NA,Spef2,sperm flagellar 2,0.003940285,-0.502754912,0.205038106
15465,10427693,NA,Spef2,sperm flagellar 2,0.181895654,-0.207083703,0.496680785
15466,10427704,NA,Dnajc21,"DnaJ (Hsp40) homolog, subfamily C, member 21",0.24244315,0.374868017,-0.119830602
15467,10427718,NA,Brix1,"BRX1, biogenesis of ribosomes, homolog (S. cerevisiae)",-0.271426271,0.331354729,-0.075115709
15468,10427729,NA,Ttc23l,tetratricopeptide repeat domain 23-like,0.317914025,-0.20992933,0.287275285
15470,10427744,NA,Rai14,retinoic acid induced 14,-0.090206385,0.273330655,0.282935697
15471,10427766,NA,Rxfp3,relaxin family peptide receptor 3,0.253138399,-0.197016054,0.749755217
15472,10427772,NA,Tars,threonyl-tRNA synthetase,0.133494331,1.086852292,-0.734009581
15474,10427796,NA,Npr3,natriuretic peptide receptor 3,0.082758104,-0.253185885,0.057440962
15475,10427807,NA,Sub1,SUB1 homolog (S. cerevisiae),-0.162746501,0.160571718,0.196933957
15476,10427814,NA,Golph3,golgi phosphoprotein 3,0.014931564,-0.109004491,0.675418446
15477,10427816,NA,Pdzd2,PDZ domain containing 2,-0.500111374,-0.508783782,0.253972187
15478,10427845,NA,F830212C03Rik,RIKEN cDNA F830212C03 gene,-1.219505915,0.32289012,1.772384827
15479,10427847,NA,Gm17756,"predicted gene, 17756",-0.102162414,-0.117570315,-0.517677206
15480,10427849,NA,6030458C11Rik,RIKEN cDNA 6030458C11 gene,0.027636263,-0.438796162,-0.063139181
15481,10427862,NA,Cdh6,cadherin 6,0.085420628,0.118304573,0.351650792
15485,10427883,NA,Acot10,acyl-CoA thioesterase 10,-1.080698241,0.577270297,-0.836142479
15486,10427885,NA,Gm5803,predicted gene 5803,0.479494481,-0.138122529,0.37940485
15489,10427895,NA,Basp1,"brain abundant, membrane attached signal protein 1",0.067803835,-0.474756796,0.121355131
15490,10427898,NA,Fbxl7,F-box and leucine-rich repeat protein 7,0.761376006,-0.438552078,0.468219643
15491,10427904,NA,Fbxl7,F-box and leucine-rich repeat protein 7,-1.14193926,0.575306908,-0.801788757
15492,10427906,NA,D130046C19Rik,RIKEN cDNA D130046C19 gene,-1.234635598,0.020193197,0.428366838
15493,10427908,NA,Gm9948,predicted gene 9948,0.163041478,0.631012512,0.116078669
15494,10427910,NA,Fam105b,"family with sequence similarity 105, member B",-0.778386799,0.29980494,0.4314449
15495,10427918,NA,Fam105a,"family with sequence similarity 105, member A",-0.106121641,-0.451752094,0.284778174
15496,10427928,NA,Trio,triple functional domain (PTPRF interacting),-0.002705006,0.12690125,0.212535661
15497,10427991,NA,Trio,triple functional domain (PTPRF interacting),0.572788868,-2.292235262,1.174527365
15500,10427997,NA,Ankrd33b,ankyrin repeat domain 33B,-0.139817614,-0.287416701,0.176675719
15501,10428002,NA,Ankrd33b,ankyrin repeat domain 33B,0.003116156,0.165082104,-0.805881826
15502,10428004,NA,Ankrd33b,ankyrin repeat domain 33B,-0.226180896,-0.121915749,-0.373820258
15503,10428008,NA,Ankrd33b,ankyrin repeat domain 33B,-0.221827801,-0.370197983,0.268150525
15504,10428012,NA,Ropn1l,ropporin 1-like,0.36076329,0.072959559,-0.338850368
15505,10428018,NA,Ube2v2,ubiquitin-conjugating enzyme E2 variant 2,0.426932365,-0.109861282,-0.571364867
15506,10428020,NA,6-Mar,membrane-associated ring finger (C3HC4) 6,0.482348109,0.297244506,-0.548403269
15507,10428052,NA,Cct5,"chaperonin containing Tcp1, subunit 5 (epsilon)",-0.423276727,0.522186134,-0.464582893
15508,10428066,NA,1700084J12Rik,ribosomal protein L7-like 1 pseudogene,0.033109869,-0.171910501,-0.26885579
15509,10428068,NA,Tspyl5,"testis-specific protein, Y-encoded-like 5",-0.18734457,0.01272572,-0.015920792
15510,10428070,NA,9430069I07Rik,RIKEN cDNA 9430069I07 gene,0.246298392,-0.886872324,0.045026551
15512,10428081,NA,Hrsp12,heat-responsive protein 12,-0.061046007,-0.281023365,-0.870612919
15513,10428089,NA,Nipal2,NIPA-like domain containing 2,0.16740809,-0.07681827,0.116379775
15514,10428103,NA,Stk3,serine/threonine kinase 3,0.174447786,0.498075244,-1.571610149
15515,10428117,NA,Mir599,microRNA 599,0.311394905,-0.101606344,0.412162333
15517,10428124,NA,Rgs22,regulator of G-protein signalling 22,0.010473741,-0.285029123,0.213521454
15518,10428150,NA,Fbxo43,F-box protein 43,0.081877884,-0.035463536,0.26495399
15519,10428157,NA,Rnf19a,ring finger protein 19A,0.050084296,0.180425682,-0.864259157
15520,10428169,NA,Rpl7a,ribosomal protein L7A,0.218835726,0.385635397,-0.471072296
15521,10428171,NA,Ankrd46,ankyrin repeat domain 46,0.184862543,-0.675771142,0.322137076
15522,10428176,NA,Snx31,sorting nexin 31,0.134641905,-0.089643909,0.161673551
15523,10428192,NA,Pabpc1,"poly(A) binding protein, cytoplasmic 1",-0.426460872,0.575667518,-0.152510731
15524,10428204,NA,Ywhaz,"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide",0.014206901,-0.375216281,0.325622993
15526,10428211,NA,Zfp706,zinc finger protein 706,0.094188289,-0.279732471,-1.93285379
15529,10428222,NA,Ncald,neurocalcin delta,-0.007058364,0.117215394,-0.424271431
15530,10428232,NA,Rrm2b,ribonucleotide reductase M2 B (TP53 inducible),-0.092762451,-0.056939196,0.318965821
15531,10428238,NA,Ubr5,ubiquitin protein ligase E3 component n-recognin 5,-0.525452066,0.761132363,-0.220091709
15533,10428302,NA,Klf10,Kruppel-like factor 10,-0.245895902,0.458392733,-1.4838923
15534,10428308,NA,G930009F23Rik,RIKEN cDNA G930009F23 gene,0.050334857,-0.099704449,0.039528533
15535,10428310,NA,Azin1,antizyme inhibitor 1,-0.348805343,0.489242049,-0.616062083
15537,10428328,NA,Slc25a32,"solute carrier family 25, member 32",0.197425802,-0.708236197,-0.102418365
15539,10428338,NA,Dpys,dihydropyrimidinase,0.409516697,-0.11007396,-0.036348287
15540,10428353,NA,Lrp12,low density lipoprotein-related protein 12,-0.298043077,0.25844593,-0.657872975
15541,10428362,NA,Gm16294,predicted gene 16294,0.192745227,0.081514827,0.263799605
15542,10428366,NA,Gm10383,predicted gene 10383,0.453218213,-0.375533007,-1.52215768
15544,10428370,NA,Abra,actin-binding Rho activating protein,-0.114781448,-0.360567844,-0.036342441
15546,10428376,NA,Angpt1,angiopoietin 1,-0.761071726,-0.501250822,-0.226281047
15547,10428388,NA,Rspo2,R-spondin 2 homolog (Xenopus laevis),0.159227442,-0.335885589,0.390372361
15549,10428398,NA,Eif3e,"eukaryotic translation initiation factor 3, subunit E",0.074933992,0.197854003,0.025190747
15550,10428405,NA,Gm10373,predicted gene 10373,0.116585797,-0.225085903,0.620777539
15551,10428407,NA,Tmem74,transmembrane protein 74,0.04383725,-0.684374245,0.759312823
15552,10428412,NA,Nudcd1,NudC domain containing 1,-0.018030118,0.559433725,-1.33633
15553,10428426,NA,Sybu,syntabulin (syntaxin-interacting),0.248235998,-0.313505464,0.390673749
15556,10428443,NA,Kcnv1,"potassium channel, subfamily V, member 1",-0.182270893,-0.068662618,0.170872463
15560,10428453,NA,Csmd3,CUB and Sushi multiple domains 3,-0.197329935,-0.089977329,0.062742485
15563,10428513,NA,Csmd3,CUB and Sushi multiple domains 3,-0.079894771,-0.467250652,0.127294392
15564,10428515,NA,Csmd3,CUB and Sushi multiple domains 3,0.075701453,-0.838950419,0.229564052
15565,10428517,NA,Csmd3,CUB and Sushi multiple domains 3,0.358590825,-0.146933143,-0.038561958
15566,10428522,NA,Csmd3,CUB and Sushi multiple domains 3,0.162695179,-0.391911308,0.17394537
15567,10428534,NA,Trps1,trichorhinophalangeal syndrome I (human),-0.858224195,0.03212431,-1.019939917
15568,10428536,NA,Trps1,trichorhinophalangeal syndrome I (human),-0.515983624,0.256379091,-0.569694628
15569,10428554,NA,Eif3h,"eukaryotic translation initiation factor 3, subunit H",-0.290411297,-0.178598704,-0.242122093
15570,10428561,NA,Rad21,RAD21 homolog (S. pombe),-0.446955763,0.663171845,0.356462873
15571,10428576,NA,Rpl15,ribosomal protein L15,-0.139739401,0.980316831,-0.745342911
15572,10428579,NA,Ext1,exostoses (multiple) 1,-1.061563464,1.145449239,-1.378445877
15573,10428594,NA,Samd12,sterile alpha motif domain containing 12,0.170689542,-0.892322837,-0.022501308
15575,10428604,NA,Tnfrsf11b,"tumor necrosis factor receptor superfamily, member 11b (osteoprotegerin)",-0.112617505,-0.65763439,0.617310815
15576,10428613,NA,Gm5215,predicted gene 5215,0.20050589,-0.368910908,-1.10595945
15578,10428619,NA,Enpp2,ectonucleotide pyrophosphatase/phosphodiesterase 2,-0.803089478,0.483468501,-0.56138521
15579,10428648,NA,Taf2,"TAF2 RNA polymerase II, TATA box binding protein (TBP)-associated factor",-0.070849756,0.41009368,-0.725517176
15580,10428672,NA,Dscc1,defective in sister chromatid cohesion 1 homolog (S. cerevisiae),0.6350732,0.610711009,-0.015532962
15583,10428687,NA,1700040F17Rik,RIKEN cDNA 1700040F17 gene,-0.010074258,0.113842491,0.141661316
15584,10428690,NA,Mrpl13,mitochondrial ribosomal protein L13,-0.904071224,0.751830042,-2.058265712
15585,10428698,NA,Sntb1,"syntrophin, basic 1",-0.181921279,0.018036859,-0.285999467
15586,10428707,NA,Has2,hyaluronan synthase 2,0.161072737,-0.489604803,0.031345859
15587,10428714,NA,Slc22a22,"solute carrier family 22 (organic cation transporter), member 22",0.052003104,-0.13877777,0.090435614
15589,10428736,NA,Derl1,"Der1-like domain family, member 1",-0.274627103,1.771041059,-0.86550042
15590,10428744,NA,9130401M01Rik,RIKEN cDNA 9130401M01 gene,-0.146473512,0.250496721,-0.495454391
15592,10428755,NA,Zhx1,zinc fingers and homeoboxes 1,-0.563477196,1.213529629,-0.46639108
15593,10428763,NA,Atad2,"ATPase family, AAA domain containing 2",0.354891085,0.68582852,-0.908629319
15594,10428796,NA,Fbxo32,F-box protein 32,0.394576295,-0.800251084,0.349747725
15595,10428809,NA,Klhl38,kelch-like 38,0.454248402,-0.05997933,0.156987344
15596,10428814,NA,Anxa13,annexin A13,0.356066847,-0.34853221,0.267375681
15598,10428827,NA,Tmem65,transmembrane protein 65,-0.737038097,0.560764798,-0.878511765
15600,10428839,NA,Ube2d4,ubiquitin-conjugating enzyme E2D 4,-0.494055839,-0.537602839,0.76335708
15601,10428842,NA,Tatdn1,TatD DNase domain containing 1,0.054144431,1.997471849,-2.151717354
15602,10428857,NA,Mtss1,metastasis suppressor 1,-0.27532973,-0.169798276,-0.001449229
15603,10428877,NA,E430025E21Rik,RIKEN cDNA E430025E21 gene,-0.69974915,1.005286102,-0.581137209
15605,10428910,NA,4933412E24Rik,RIKEN cDNA 4933412E24 gene,0.230423606,-0.02294838,0.653293221
15606,10428912,NA,Fam84b,"family with sequence similarity 84, member B",0.272271205,-0.417342565,-0.275515791
15608,10428921,NA,A1bg,alpha-1-B glycoprotein,-0.004998841,0.015753632,0.303103373
15610,10428933,NA,H2afy3,"H2A histone family, member Y3",0.093069649,-0.401555636,-0.126066288
15614,10428943,NA,Gsdmc,gasdermin C,0.117878386,-0.336205319,0.905270099
15615,10428955,NA,Gsdmc2,gasdermin C2,0.527554411,-1.290967615,0.879673267
15617,10428973,NA,Gsdmc4,gasdermin C4,0.173079819,-0.602036124,0.042776611
15619,10428983,NA,Fam49b,"family with sequence similarity 49, member B",-0.726221537,-0.346520667,0.337738989
15620,10428998,NA,Asap1,"ArfGAP with SH3 domain, ankyrin repeat and PH domain1",-0.563177029,0.004510706,-0.769509341
15621,10429029,NA,Adcy8,adenylate cyclase 8,0.098711012,-0.240068254,0.186642822
15622,10429048,NA,Oc90,otoconin 90,-0.221239418,-0.272617601,0.51224607
15623,10429064,NA,Hhla1,HERV-H LTR-associating 1,0.030327346,-0.376055665,0.234152387
15624,10429081,NA,Snrpc,U1 small nuclear ribonucleoprotein C,0.595629041,0.001777983,0.5324747
15625,10429083,NA,Kcnq3,"potassium voltage-gated channel, subfamily Q, member 3",-0.102597915,-0.003311219,0.232715286
15626,10429100,NA,Lrrc6,leucine rich repeat containing 6 (testis),-0.002367696,-0.356615959,0.225838301
15627,10429114,NA,Tmem71,transmembrane protein 71,-0.193187076,-0.210326438,0.215294659
15628,10429128,NA,Sla,src-like adaptor,0.355807637,-0.230382055,0.295052002
15629,10429140,NA,Ndrg1,N-myc downstream regulated gene 1,-0.631498478,1.272389759,-0.296078492
15630,10429160,NA,St3gal1,"ST3 beta-galactoside alpha-2,3-sialyltransferase 1",-1.160427499,0.46274489,0.400016012
